from;to;relation;year
ECO;KUB;Aufenthalt;1957
ECO;B26J;Unterstützung;1957
EGC;ESG;Bekanntschaft;1957
EGC;GUA;Aufenthalt;1957
EGDO;KUB;Aufenthalt;1957
EGDO;B26J;Unterstützung;1957
EGDR;ESG;Unterstützung;1959
EGDR;KUB;Aufenthalt;1959
EGO;KUB;Aufenthalt;1957
EGO;ESG;Untersützer;1957
EMAT;ESG;Untersützer;NA
EMY;ESG;Untersützer;NA
EMY;BOV;Aufenthalt;NA
EOL;B26J;Unterstützung;1957
EOL;KUB;Aufenthalt;1957
FAP;ESG;Unterstützung;1955
FAP;MEX;Aufenthalt;1955
FCL;KUB;Aufenthalt;1957
FCL;ESG;Unterstützung;1957
GGF;ESG;Unterstützung;1957
GGF;KUB;Aufenthalt;1957
GMI;B26J;Unterstützung;1957
GMI;KUB;Aufenthalt;1957
HGA;B26J;Unterstützung;1957
HGA;KUB;Aufenthalt;1957
HMA;B26J;Unterstützung;1957
HMA;KUB;Aufenthalt;1957
IRZ;KUB;Aufenthalt;1957
IRZ;B26J;Unterstützung;1957
JAB;KUB;Aufenthalt;1957
JAB;B26J;Unterstützung;1957
JDG;ESG;Unterstützung;1958
JDG;KUB;Aufenthalt;1958
LORO;KUB;Aufenthalt;1957
LORO;B26J;Unterstützer;1957
MAP;KUB;Aufenthalt;1957
MAP;B26J;Unterstützer;1957
MH;KUB;Aufenthalt;1957
MH;MEX;Aufenthalt;1953
MH;B26J;Untersützer;1957
MH;ESG;Bekanntschaft;1953
OA;KUB;Unterstützer;1957
OA;B26J;Unterstützer;1957
OFM;ESG;Unterstützer;NA
OFU;KUB;Aufenthalt;1957
OFU;B26J;Unterstützer;1957
PN;ESG;Untersützer;1953
RM;KUB;Aufenthalt;NA
RM;ESG;Gegner;NA
RR;ESG;Untersützer;NA
RRL;BO;Aufenthalt;NA
RRL;ECG;Gegner;NA
SD;BOV;Aufenthalt;NA
T;BOV;Aufenthalt;NA
TA;KUB;Aufenthalt;NA
TA;ECG;Bekanntschaft;NA
TI;ECG;Bekanntschaft;NA
VC;ECG;Bekanntschaft;NA
VC;GUA;Aufenthalt;NA
VV;B26J;Unterstützer;1957
WA;B26J;Unterstützer;1957
